lỗi,Key,KeyID,en,vn
package,packages_header,package.packages_header,Packages List,Danh sách kiện hàng
package,packages_title,package.packages_title,Packages List,Kiện hàng
package,code,package.code,Code,Mã Kiện
package,tracking_number,package.tracking_number,Tracking number,Mã vận đơn
package,status,package.status,Status,Trạng thái
package,order_code,package.order_code,Order code,Mã đơn hàng
package,volumetric,package.volumetric,Volume,Thể tích
package,no_identify,package.no_identify,No identify,Chưa xác định
package,customer,package.customer,Customer,Thông tin khách hàng
package,weight,package.weight,Weight,Cân nặng
package,package_status,package.package_status,,Trạng thái kiện hàng
package,create_pack,package.create_pack,,Tạo kiện
package,filter_by,package.filter_by,,Tìm theo
package,pack_code,package.pack_code,,Mã kiện...
package,tracking_code,package.tracking_code,,Mã vận đơn...
package,package_empty,package.package_empty,,Danh sách kiện trống
package,order_code,package.order_code,,Mã đơn hàng
package,customer_code,package.customer_code,,Khách hàng/ Mã khách
package,refresh_filter,package.refresh_filter,,Làm mới bộ lọc
package,search,package.search,,TÌM KIẾM
delivery_request,code,delivery_request.code,,Mã phiếu
delivery_request,customer,delivery_request.customer,,Thông tin khách hàng
delivery_request,created_at,delivery_request.created_at,,Ngày tạo
delivery_request,status,delivery_request.status,,Trạng thái
delivery_request,address,delivery_request.address,,Địa chỉ
delivery_request,package_created_at,delivery_request.package_created_at,,Ngày tạo
delivery_request,package_volume,delivery_request.package_volume,,Thể tích
delivery_request,package_weight,delivery_request.package_weight,,Cân nặng
delivery_request,title,delivery_request.title,,Danh sách yêu cầu giao
delivery_request,not_found,delivery_request.not_found,,Không tìm thấy phiếu giao phù hợp
delivery_request,menu,delivery_request.menu,,Yêu cầu giao
delivery_request,not_found_package,delivery_request.not_found_package,,Không tìm thấy kiện phù hợp
delivery,request,delivery.request,Request,Yêu cầu giao
delivery,created_at,delivery.created_at,Created at,Ngày tạo
delivery,total_weight,delivery.total_weight,Total weight,Tổng cân nặng
delivery,delivery_package,delivery.delivery_package,Package List,Danh sách kiện
delivery,log,delivery.log,Log,Log
delivery,address,delivery.address,Address,Địa chỉ giao hàng
delivery,cod_amount,delivery.cod_amount,Cod amount,Tiền COD
delivery,total,delivery.total,Total,Tổng tiền
delivery,delivery_title,delivery.delivery_title,Delivery detail,Chi tiết Yêu cầu giao
delivery,delivery_list,delivery.delivery_list,Deliveries,Danh sách yêu cầu
delivery,empty_package,delivery.empty_package,Empty package,Không có dữ liệu
delivery,order_code,delivery.order_code,Order code,Mã đơn hàng
delivery,package_code,delivery.package_code,Package code,Mã kiện
delivery,take_delivery,delivery.take_delivery,Take delivery,Yêu cầu giao
delivery,weight,delivery.weight,Weight,Cân nặng
delivery,volume,delivery.volume,Volume,Thể tích
delivery,createdAt,delivery.createdAt,Created at,Ngày tạo
log_product,purchasedQuantity,log_product.purchasedQuantity,,<strong>{{name}}</strong> đã cập nhật số lượng mua từ <strong>{{oldValue}}</strong> thành <strong>{{newValue}}</strong>
log_product,receivedQuantity,log_product.receivedQuantity,,<strong>{{name}}</strong> đã cập nhật số lượng nhận từ <strong>{{oldValue}}</strong> thành <strong>{{newValue}}</strong>
log_product,actualPrice,log_product.actualPrice,,<strong>{{name}}</strong> đã cập nhật giá sản phẩm từ <strong>{{oldValue}}¥</strong> thành <strong>{{newValue}}¥</strong>
log_product,staffRemark,log_product.staffRemark,,<strong>{{name}}</strong> đã cập nhật ghi chú của nhân viên từ <strong>{{oldValue}}</strong> thành <strong>{{newValue}}</strong>
log_product,remark,log_product.remark,,<strong>{{name}}</strong> đã cập nhật ghi chú của khách hàng từ <strong>{{oldValue}}</strong> thành <strong>{{newValue}}</strong>
log_product,update_history,log_product.update_history,,Lịch sử cập nhật
